,reg,libelle,cl_age90,rea_f,rea_h,rea,pct_h,pct_f,incid_rea,population,inc_h,inc_f,benef_h,benef_f
62,11,Île-de-France,69,18496,34857,17500,0.21,0.12,3937,1178800,35.07,19.2,106.61280000000001,58.367999999999995
63,11,Île-de-France,79,18496,34857,12172,0.15,0.08,3937,815126,35.26,19.32,107.1904,58.732800000000005
64,11,Île-de-France,89,18496,34857,2810,0.03,0.02,3937,417574,16.03,8.49,48.7312,25.8096
65,11,Île-de-France,90,18496,34857,437,0.0,0.0,3937,120856,8.14,4.89,24.745600000000003,14.865599999999999
66,27,Bourgogne-Franche-Comté,0,1891,4165,6088,0.68,0.32,459,2784858,5.64,2.6,17.145599999999998,7.904000000000001
67,27,Bourgogne-Franche-Comté,9,1891,4165,2,0.0,0.0,459,288003,0.0,0.0,0.0,0.0
68,27,Bourgogne-Franche-Comté,19,1891,4165,56,0.01,0.0,459,336802,0.41,0.2,1.2464,0.6080000000000001
69,27,Bourgogne-Franche-Comté,29,1891,4165,86,0.01,0.0,459,278760,0.82,0.33,2.4928,1.0032
70,27,Bourgogne-Franche-Comté,39,1891,4165,70,0.01,0.0,459,311074,0.59,0.3,1.7935999999999999,0.9119999999999999
71,27,Bourgogne-Franche-Comté,49,1891,4165,353,0.04,0.02,459,339632,2.7,1.22,8.208,3.7088
72,27,Bourgogne-Franche-Comté,59,1891,4165,941,0.11,0.05,459,374024,6.5,3.01,19.76,9.1504
73,27,Bourgogne-Franche-Comté,69,1891,4165,2112,0.24,0.11,459,368045,14.78,6.86,44.9312,20.854400000000002
74,27,Bourgogne-Franche-Comté,79,1891,4165,1955,0.22,0.1,459,286109,17.65,8.1,53.656,24.624
75,27,Bourgogne-Franche-Comté,89,1891,4165,405,0.05,0.02,459,156435,6.75,3.08,20.52,9.3632
76,27,Bourgogne-Franche-Comté,90,1891,4165,30,0.0,0.0,459,45974,1.5,1.0,4.5600000000000005,3.04
77,28,Normandie,0,2382,4482,6891,0.65,0.35,485,3305218,4.77,2.57,14.500799999999998,7.812799999999999
78,28,Normandie,9,2382,4482,1,0.0,0.0,485,362612,0.0,0.0,0.0,0.0
79,28,Normandie,19,2382,4482,4,0.0,0.0,485,414600,0.0,0.0,0.0,0.0
80,28,Normandie,29,2382,4482,94,0.01,0.0,485,344753,0.63,0.35,1.9152,1.0639999999999998
81,28,Normandie,39,2382,4482,239,0.02,0.01,485,382906,1.46,0.76,4.4384,2.3104
82,28,Normandie,49,2382,4482,401,0.04,0.02,485,404102,2.28,1.2,6.9312,3.6479999999999997
83,28,Normandie,59,2382,4482,1194,0.11,0.06,485,434473,6.31,3.4,19.182399999999998,10.336
84,28,Normandie,69,2382,4482,2361,0.22,0.12,485,427895,12.64,6.8,38.4256,20.672
85,28,Normandie,79,2382,4482,2314,0.22,0.12,485,313223,16.88,9.06,51.3152,27.5424
86,28,Normandie,89,2382,4482,214,0.02,0.01,485,171984,2.82,1.55,8.572799999999999,4.712000000000001
87,28,Normandie,90,2382,4482,0,0.0,0.0,485,48670,0.0,0.0,0.0,0.0
88,32,Hauts-de-France,0,7694,13319,21303,0.62,0.38,1434,5975757,7.5,4.5,22.8,13.68
