fra;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
FR;2020-S27;221;233;460;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S27;162;169;336;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S27;84;93;178;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S27;98;61;159;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S27;69;17;90;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S27;1923;1800;3839;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S28;147;118;271;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S28;219;228;451;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S28;402;326;734;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S28;379;297;685;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S28;313;282;599;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S28;236;259;499;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S28;171;179;352;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S28;93;116;209;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S28;73;48;121;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S28;46;15;61;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S28;2079;1868;3992;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S29;106;148;261;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S29;218;262;487;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S29;438;388;832;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S29;420;411;835;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S29;327;320;654;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S29;279;294;574;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S29;192;197;389;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S29;131;139;270;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S29;69;58;127;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S29;44;13;57;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S29;2225;2232;4503;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S30;161;169;334;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S30;383;335;725;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S30;808;669;1482;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S30;583;606;1192;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S30;437;465;907;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S30;414;364;784;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S30;293;259;555;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S30;191;188;379;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S30;104;74;178;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S30;61;23;84;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S30;3435;3155;6633;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S31;172;186;366;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S31;488;476;978;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S31;1141;1170;2317;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S31;753;793;1550;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S31;531;490;1024;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S31;506;460;968;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S31;344;289;633;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S31;166;185;353;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S31;121;94;216;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S31;70;18;88;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S31;4295;4167;8516;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S32;243;244;499;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S32;677;583;1270;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S32;1730;1688;3423;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S32;1067;1178;2251;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S32;780;736;1519;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S32;628;566;1195;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S32;421;367;789;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S32;217;301;518;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S32;168;136;304;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S32;86;42;128;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S32;6020;5847;11919;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S33;298;294;599;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S33;1046;867;1926;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S33;2577;2703;5283;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S33;1431;1688;3119;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S33;1126;1158;2286;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S33;907;968;1875;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S33;548;520;1068;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S33;309;344;654;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S33;200;157;357;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S33;108;36;144;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S33;8551;8736;17323;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S34;414;400;828;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S34;1617;1489;3118;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S34;4532;5014;9557;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S34;2356;2752;5111;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S34;1697;1812;3512;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S34;1462;1428;2892;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S34;830;867;1700;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S34;360;429;789;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S34;241;194;437;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S34;140;42;182;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S34;13654;14431;28143;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S35;611;611;1250;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S35;2469;2233;4732;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S35;6581;6685;13286;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S35;3441;3741;7194;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S35;2467;2346;4824;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S35;2131;1925;4065;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S35;1182;1162;2346;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S35;595;608;1206;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S35;376;253;631;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S35;214;58;272;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S35;20076;19632;39853;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S36;925;966;1936;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S36;3594;3252;6909;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S36;7881;8114;16043;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S36;4548;4647;9214;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S36;3477;3130;6626;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S36;2998;2608;5615;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S36;1689;1667;3369;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S36;791;862;1656;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S36;574;413;990;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S36;325;112;438;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S36;26818;25779;52827;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S37;1477;1464;3011;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S37;4456;4532;9103;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S37;8736;8679;17461;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S37;5355;4841;10223;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S37;4578;3932;8530;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S37;4000;3491;7508;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S37;2136;2084;4237;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S37;1176;1158;2337;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S37;841;612;1458;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S37;607;191;798;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S37;33376;30993;64697;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S38;1276;1445;2776;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S38;5724;5753;11607;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S38;9976;9853;19867;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S38;6267;5509;11806;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S38;5425;4620;10069;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S38;4656;4061;8733;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S38;2611;2577;5204;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S38;1426;1444;2873;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S38;1102;759;1863;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S38;707;241;948;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S38;39188;36282;75805;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S39;864;914;1813;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S39;5384;5348;10842;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S39;9977;9528;19538;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S39;6112;5513;11635;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S39;5317;4565;9890;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S39;4763;4211;8981;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S39;2764;2704;5473;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S39;1503;1605;3112;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S39;1110;792;1906;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S39;640;220;862;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S39;38456;35427;74118;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S40;838;843;1732;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S40;5431;5391;10965;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S40;10096;9594;19730;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S40;6805;5979;12797;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S40;6176;5293;11483;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S40;5355;4812;10181;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S40;3118;3016;6151;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S40;1776;1837;3618;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S40;1255;859;2117;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S40;813;290;1107;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S40;41679;37933;79932;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S41;1311;1414;2803;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S41;7784;7944;15924;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S41;14102;12702;26855;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S41;10749;9593;20374;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S41;10065;8667;18760;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S41;8697;7976;16697;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S41;5297;5052;10377;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S41;2882;2885;5770;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S41;2157;1483;3642;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S41;1339;408;1748;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S41;64398;58150;123012;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S42;1842;1930;3877;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S42;10769;10654;21713;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S42;18053;15564;33659;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S42;15518;13121;28686;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S42;14718;12562;27320;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S42;12919;11602;24550;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S42;8237;7981;16275;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S42;4582;4660;9246;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S42;3716;2441;6158;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S42;2481;752;3234;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S42;92865;81296;174792;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S43;2546;2589;5249;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S43;13761;13373;27512;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S43;27273;23150;50527;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S43;24783;20867;45691;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S43;23464;20329;43841;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S43;21502;19149;40693;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S43;13709;13285;27048;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S43;8243;8073;16326;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S43;7288;4543;11840;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S43;5001;1623;6633;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S43;147617;127036;275476;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S44;3512;3641;7351;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S44;17979;17074;35552;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S44;30172;24762;55036;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S44;29318;24141;53534;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S44;29047;23909;53022;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S44;26711;23807;50567;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S44;18078;16990;35150;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S44;11048;10746;21821;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S44;9188;5965;15161;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S44;6031;1943;7983;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S44;181143;153042;335357;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S45;4177;4482;8862;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S45;18136;17903;36538;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S45;23153;19044;42278;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S45;24007;18926;42995;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S45;23931;19861;43853;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S45;22723;20746;43518;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S45;16073;15292;31438;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S45;10629;10127;20776;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S45;9241;5875;15139;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S45;6151;2015;8175;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S45;158275;134332;293740;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S46;2784;2839;5745;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S46;10855;10618;21746;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S46;12318;9744;22111;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S46;12777;9945;22744;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S46;13367;10663;24059;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S46;13111;11344;24487;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S46;8809;8504;17365;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S46;6355;6212;12576;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S46;7330;4275;11618;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S46;5531;1682;7222;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S46;93278;75864;169777;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S47;2013;2145;4289;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S47;7221;7264;14652;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S47;8048;6322;14411;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S47;8634;6510;15163;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S47;9059;7071;16148;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S47;8296;7155;15477;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S47;5211;5097;10344;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S47;3881;3711;7601;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S47;5212;2939;8162;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S47;4208;1222;5434;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S47;61837;49480;111897;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S48;1286;1331;2672;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S48;4814;4691;9617;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S48;5665;4294;9984;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S48;6099;4492;10611;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S48;6250;4839;11115;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S48;5828;4821;10670;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S48;3390;3247;6654;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S48;2673;2549;5227;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S48;3977;2121;6110;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S48;3289;981;4275;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S48;43285;33383;76973;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S49;1152;1335;2547;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S49;4151;4084;8335;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S49;5727;4240;9989;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S49;5922;4353;10295;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S49;5754;4523;10295;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S49;5404;4447;9869;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S49;3299;3231;6551;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S49;2478;2285;4772;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S49;3807;2086;5896;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S49;3361;954;4317;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S49;41064;31547;72891;34692807.7476749;32422187.2523251;0;67114995
FR;2020-S50;1280;1344;2666;3802089.59193844;3961116.09433445;09;7763205.68627289
FR;2020-S50;4541;4566;9201;4066326.89515592;4270159.26538131;19;8336486.16053724
FR;2020-S50;6424;4995;11446;3736780.48185837;3740006.70594574;29;7476787.18780411
FR;2020-S50;6605;5151;11777;4266384.08361496;4028987.84832459;39;8295371.93193955
FR;2020-S50;6407;5079;11520;4355126.52656384;4237759.6333663;49;8592886.15993014
FR;2020-S50;5812;5079;10921;4494308.44474725;4298366.32326346;59;8792674.76801071
FR;2020-S50;3743;3648;7410;4209745.81020426;3794336.95009999;69;8004082.76030424
FR;2020-S50;2792;2653;5454;3096658.17457622;2598980.95622107;79;5695639.1307973
FR;2020-S50;3774;2138;5918;1993317.74632008;1251962.86181089;89;3245280.60813097
FR;2020-S50;3178;925;4105;672069.992695578;240510.613577276;90;912580.606272853
FR;2020-S50;44569;35586;80449;34692807.7476749;32422187.2523251;0;67114995
