reg;week;P_f;P_h;P;pop_f;pop_h;cl_age90;pop
07;2021-S04;6;9;15;764;841;29;1605
07;2021-S04;6;9;15;824;928;39;1752
07;2021-S04;0;4;4;788;1020;49;1808
07;2021-S04;1;6;7;678;870;59;1548
07;2021-S04;0;2;2;360;382;69;742
07;2021-S04;1;0;1;231;190;79;421
07;2021-S04;0;0;0;114;67;89;181
07;2021-S04;0;0;0;24;11;90;35
07;2021-S04;15;33;48;4671;5290;0;9961
08;2021-S04;2;0;2;2715.22592983026;2997.75551488675;09;5712.98144471701
08;2021-S04;9;2;11;2778.51901080978;3160.9156459093;19;5939.43465671908
08;2021-S04;2;8;10;2080.8882988764;1718.16634315323;29;3799.05464202964
08;2021-S04;7;14;21;2701.8582062647;1896.52641413317;39;4598.38462039786
08;2021-S04;16;8;24;3151.45861023308;2460.52498233809;49;5611.98359257117
08;2021-S04;14;16;30;2620.29868333099;2422.23566154656;59;5042.53434487755
08;2021-S04;4;5;9;1621.44173420671;1438.58325779464;69;3060.02499200135
08;2021-S04;3;2;5;626.575909335673;526.358467843651;79;1152.93437717932
08;2021-S04;0;1;1;205.018522985054;140.993639349697;89;346.012162334751
08;2021-S04;0;0;0;50.0325684687745;20.62259870351;90;70.6551671722846
08;2021-S04;57;56;113;18551.3174743414;16782.6825256586;0;35334
11;2021-S04;616;649;1350;783071;811785;09;1594856
11;2021-S04;1809;1888;3833;761456;784653;19;1546109
11;2021-S04;2569;2066;4652;850145;801772;29;1651917
11;2021-S04;2673;2247;4938;914360;843488;39;1757848
11;2021-S04;2388;2063;4462;845609;826202;49;1671811
11;2021-S04;1946;1762;3718;793566;745070;59;1538636
11;2021-S04;1249;1198;2479;628649;549192;69;1177841
11;2021-S04;649;702;1356;434606;358356;79;792962
11;2021-S04;590;381;974;261425;162933;89;424358
11;2021-S04;333;140;473;89253;32619;90;121872
11;2021-S04;14829;13102;28251;6362140;5916070;0;12278210
24;2021-S04;69;84;159;139720;144686;09;284406
24;2021-S04;336;369;712;152979;161185;19;314164
24;2021-S04;372;255;627;122237;126536;29;248773
24;2021-S04;398;275;673;150359;142009;39;292368
24;2021-S04;461;322;784;161829;158758;49;320587
24;2021-S04;355;325;680;172552;168011;59;340563
24;2021-S04;244;216;460;172509;158177;69;330686
24;2021-S04;188;190;378;129428;110593;79;240021
24;2021-S04;254;145;399;87342;56882;89;144224
24;2021-S04;219;61;280;31210;12071;90;43281
24;2021-S04;2896;2244;5155;1320165;1238908;0;2559073
27;2021-S04;126;118;244;143373;149679;09;293052
27;2021-S04;400;405;806;160962;173003;19;333965
27;2021-S04;424;332;756;133746;142254;29;276000
27;2021-S04;449;340;789;160004;155407;39;315411
27;2021-S04;467;351;818;172333;169564;49;341897
27;2021-S04;479;396;875;189979;183788;59;373767
27;2021-S04;342;342;684;192591;178206;69;370797
27;2021-S04;269;254;523;146876;127546;79;274422
27;2021-S04;273;187;460;96896;61575;89;158471
27;2021-S04;228;67;295;33148;12109;90;45257
27;2021-S04;3458;2792;6251;1429908;1353131;0;2783039
28;2021-S04;118;123;250;180735;186856;09;367591
28;2021-S04;325;318;649;200125;213621;19;413746
28;2021-S04;400;296;696;168922;173007;29;341929
28;2021-S04;469;334;803;196628;188487;39;385115
28;2021-S04;438;364;803;205396;201699;49;407095
28;2021-S04;416;313;729;222002;213866;59;435868
28;2021-S04;335;313;648;224688;203758;69;428446
28;2021-S04;225;217;442;163192;135543;79;298735
28;2021-S04;301;170;472;109691;65377;89;175068
28;2021-S04;218;52;270;37222;12685;90;49907
