,reg,libelle,cl_age90,rea_f,rea_h,rea,pct_h,pct_f,incid_rea,population,inc_h,inc_f,benef_h,benef_f
61,11,Île-de-France,59,18496,34857,12083,0.14,0.08,3937,1537772,18.56,10.11,31.737599999999993,17.2881
62,11,Île-de-France,69,18496,34857,17500,0.21,0.12,3937,1178800,35.07,19.2,59.9697,32.831999999999994
63,11,Île-de-France,79,18496,34857,12172,0.15,0.08,3937,815126,35.26,19.32,60.2946,33.0372
64,11,Île-de-France,89,18496,34857,2810,0.03,0.02,3937,417574,16.03,8.49,27.4113,14.5179
65,11,Île-de-France,90,18496,34857,437,0.0,0.0,3937,120856,8.14,4.89,13.9194,8.361899999999999
66,27,Bourgogne-Franche-Comté,0,1891,4165,6088,0.68,0.32,459,2784858,5.64,2.6,9.6444,4.446000000000001
67,27,Bourgogne-Franche-Comté,9,1891,4165,2,0.0,0.0,459,288003,0.0,0.0,0.0,0.0
68,27,Bourgogne-Franche-Comté,19,1891,4165,56,0.01,0.0,459,336802,0.41,0.2,0.7011,0.3420000000000001
69,27,Bourgogne-Franche-Comté,29,1891,4165,86,0.01,0.0,459,278760,0.82,0.33,1.4022,0.5643
70,27,Bourgogne-Franche-Comté,39,1891,4165,70,0.01,0.0,459,311074,0.59,0.3,1.0089,0.5129999999999999
71,27,Bourgogne-Franche-Comté,49,1891,4165,353,0.04,0.02,459,339632,2.7,1.22,4.617000000000001,2.0862
72,27,Bourgogne-Franche-Comté,59,1891,4165,941,0.11,0.05,459,374024,6.5,3.01,11.115,5.1471
73,27,Bourgogne-Franche-Comté,69,1891,4165,2112,0.24,0.11,459,368045,14.78,6.86,25.2738,11.730600000000003
74,27,Bourgogne-Franche-Comté,79,1891,4165,1955,0.22,0.1,459,286109,17.65,8.1,30.1815,13.850999999999997
75,27,Bourgogne-Franche-Comté,89,1891,4165,405,0.05,0.02,459,156435,6.75,3.08,11.5425,5.2668
76,27,Bourgogne-Franche-Comté,90,1891,4165,30,0.0,0.0,459,45974,1.5,1.0,2.565,1.7100000000000002
77,28,Normandie,0,2382,4482,6891,0.65,0.35,485,3305218,4.77,2.57,8.156699999999999,4.394699999999999
78,28,Normandie,9,2382,4482,1,0.0,0.0,485,362612,0.0,0.0,0.0,0.0
79,28,Normandie,19,2382,4482,4,0.0,0.0,485,414600,0.0,0.0,0.0,0.0
80,28,Normandie,29,2382,4482,94,0.01,0.0,485,344753,0.63,0.35,1.0773000000000001,0.5984999999999998
81,28,Normandie,39,2382,4482,239,0.02,0.01,485,382906,1.46,0.76,2.4966,1.2996
82,28,Normandie,49,2382,4482,401,0.04,0.02,485,404102,2.28,1.2,3.8988000000000005,2.0519999999999996
83,28,Normandie,59,2382,4482,1194,0.11,0.06,485,434473,6.31,3.4,10.790099999999999,5.814
84,28,Normandie,69,2382,4482,2361,0.22,0.12,485,427895,12.64,6.8,21.614400000000003,11.628
85,28,Normandie,79,2382,4482,2314,0.22,0.12,485,313223,16.88,9.06,28.864800000000002,15.4926
86,28,Normandie,89,2382,4482,214,0.02,0.01,485,171984,2.82,1.55,4.8222,2.6505
87,28,Normandie,90,2382,4482,0,0.0,0.0,485,48670,0.0,0.0,0.0,0.0
88,32,Hauts-de-France,0,7694,13319,21303,0.62,0.38,1434,5975757,7.5,4.5,12.825000000000001,7.695
89,32,Hauts-de-France,9,7694,13319,7,0.0,0.0,1434,720345,0.0,0.0,0.0,0.0
90,32,Hauts-de-France,19,7694,13319,54,0.0,0.0,1434,801715,0.18,0.09,0.3078,0.1539
91,32,Hauts-de-France,29,7694,13319,225,0.01,0.0,1434,694588,0.72,0.41,1.2312,0.7011
92,32,Hauts-de-France,39,7694,13319,552,0.02,0.01,1434,744919,1.54,0.96,2.6334,1.6416
93,32,Hauts-de-France,49,7694,13319,1967,0.06,0.04,1434,757746,5.49,3.31,9.387899999999998,5.6601
94,32,Hauts-de-France,59,7694,13319,3814,0.11,0.07,1434,762604,10.53,6.3,18.0063,10.773
95,32,Hauts-de-France,69,7694,13319,7426,0.22,0.13,1434,699972,22.33,13.42,38.1843,22.9482
96,32,Hauts-de-France,79,7694,13319,5991,0.18,0.1,1434,479542,26.32,15.7,45.007200000000005,26.847
97,32,Hauts-de-France,89,7694,13319,1030,0.03,0.02,1434,248440,8.66,5.19,14.808600000000002,8.8749
98,32,Hauts-de-France,90,7694,13319,83,0.0,0.0,1434,65886,2.18,1.09,3.7278000000000002,1.8639000000000001
99,44,Grand Est,0,4848,10225,15165,0.67,0.33,993,5522476,6.06,2.93,10.3626,5.010300000000001
100,44,Grand Est,9,4848,10225,1,0.0,0.0,993,591749,0.0,0.0,0.0,0.0
101,44,Grand Est,19,4848,10225,15,0.0,0.0,993,666357,0.07,0.0,0.11970000000000001,0.0
102,44,Grand Est,29,4848,10225,118,0.0,0.0,993,618269,0.4,0.24,0.6840000000000002,0.4104
103,44,Grand Est,39,4848,10225,429,0.02,0.01,993,673889,1.4,0.66,2.3939999999999992,1.1286
104,44,Grand Est,49,4848,10225,1160,0.05,0.02,993,689656,3.74,1.8,6.3954,3.0780000000000003
105,44,Grand Est,59,4848,10225,2673,0.12,0.06,993,754632,7.83,3.75,13.389300000000002,6.4125000000000005
106,44,Grand Est,69,4848,10225,4972,0.22,0.11,993,703304,15.6,7.55,26.676,12.910499999999999
107,44,Grand Est,79,4848,10225,4830,0.22,0.1,993,485486,21.99,10.64,37.6029,18.1944
108,44,Grand Est,89,4848,10225,784,0.04,0.02,993,270447,6.43,3.12,10.9953,5.3352
109,44,Grand Est,90,4848,10225,62,0.0,0.0,993,68687,2.17,0.72,3.7106999999999997,1.2312
110,52,Pays de la Loire,0,1350,3203,4553,0.7,0.3,386,3837166,3.54,1.49,6.053400000000001,2.5479
111,52,Pays de la Loire,9,1350,3203,61,0.01,0.0,386,432272,0.4,0.18,0.6840000000000002,0.3078
112,52,Pays de la Loire,19,1350,3203,5,0.0,0.0,386,501772,0.04,0.0,0.0684,0.0
113,52,Pays de la Loire,29,1350,3203,21,0.0,0.0,386,405814,0.14,0.05,0.23940000000000003,0.08550000000000002
114,52,Pays de la Loire,39,1350,3203,80,0.01,0.0,386,453828,0.51,0.21,0.8721000000000001,0.3591
115,52,Pays de la Loire,49,1350,3203,335,0.05,0.02,386,491690,2.04,0.86,3.4884000000000004,1.4706000000000001
116,52,Pays de la Loire,59,1350,3203,975,0.15,0.06,386,488378,5.97,2.49,10.2087,4.257900000000001
117,52,Pays de la Loire,69,1350,3203,1568,0.24,0.1,386,464006,10.07,4.24,17.219700000000003,7.250400000000001
118,52,Pays de la Loire,79,1350,3203,1244,0.19,0.08,386,346179,10.7,4.52,18.296999999999997,7.729199999999999
119,52,Pays de la Loire,89,1350,3203,217,0.03,0.01,386,194359,3.38,1.39,5.7798,2.3769
120,52,Pays de la Loire,90,1350,3203,15,0.0,0.0,386,58868,0.66,0.33,1.1286,0.5643
121,53,Bretagne,0,1098,2643,3776,0.7,0.3,230,3371158,2.39,1.02,4.0869,1.7442000000000002
122,53,Bretagne,9,1098,2643,1,0.0,0.0,230,352543,0.0,0.0,0.0,0.0
123,53,Bretagne,19,1098,2643,5,0.0,0.0,230,421132,0.03,0.0,0.0513,0.0
124,53,Bretagne,29,1098,2643,32,0.01,0.0,230,338936,0.2,0.1,0.3420000000000001,0.17100000000000004
125,53,Bretagne,39,1098,2643,25,0.0,0.0,230,376667,0.15,0.06,0.25649999999999995,0.1026
126,53,Bretagne,49,1098,2643,289,0.05,0.02,230,424842,1.46,0.62,2.4966,1.0602
127,53,Bretagne,59,1098,2643,659,0.12,0.05,230,447793,3.13,1.34,5.3523,2.2914000000000003
128,53,Bretagne,69,1098,2643,1442,0.27,0.12,230,440860,6.96,3.0,11.9016,5.13
129,53,Bretagne,79,1098,2643,1213,0.22,0.1,230,329833,7.84,3.35,13.4064,5.7285
130,53,Bretagne,89,1098,2643,75,0.01,0.01,230,186810,0.86,0.37,1.4706000000000001,0.6326999999999999
131,53,Bretagne,90,1098,2643,0,0.0,0.0,230,51742,0.0,0.0,0.0,0.0
132,75,Nouvelle-Aquitaine,0,2649,5620,8332,0.68,0.32,605,6039092,3.38,1.63,5.7798,2.7872999999999997
133,75,Nouvelle-Aquitaine,9,2649,5620,7,0.0,0.0,605,594782,0.05,0.0,0.08550000000000002,0.0
134,75,Nouvelle-Aquitaine,19,2649,5620,32,0.0,0.0,605,699645,0.13,0.04,0.2223,0.0684
135,75,Nouvelle-Aquitaine,29,2649,5620,91,0.01,0.0,605,599682,0.35,0.2,0.5984999999999998,0.3420000000000001
136,75,Nouvelle-Aquitaine,39,2649,5620,230,0.02,0.01,605,678150,0.85,0.4,1.4535,0.6840000000000002
137,75,Nouvelle-Aquitaine,49,2649,5620,649,0.05,0.02,605,756728,2.12,1.0,3.6252000000000004,1.7100000000000002
138,75,Nouvelle-Aquitaine,59,2649,5620,1421,0.12,0.06,605,809301,4.3,2.09,7.352999999999999,3.5739
139,75,Nouvelle-Aquitaine,69,2649,5620,2895,0.23,0.11,605,809054,8.75,4.22,14.962499999999999,7.216200000000001
140,75,Nouvelle-Aquitaine,79,2649,5620,2409,0.2,0.09,605,634785,9.29,4.48,15.885899999999998,7.660800000000001
141,75,Nouvelle-Aquitaine,89,2649,5620,504,0.04,0.02,605,348951,3.55,1.73,6.070499999999999,2.9582999999999995
142,75,Nouvelle-Aquitaine,90,2649,5620,33,0.0,0.0,605,108014,0.84,0.28,1.4364,0.47880000000000006
143,76,Occitanie,0,4026,8085,12206,0.66,0.34,869,5985697,4.81,2.45,8.2251,4.189500000000001
144,76,Occitanie,9,4026,8085,0,0.0,0.0,869,623994,0.0,0.0,0.0,0.0
145,76,Occitanie,19,4026,8085,3,0.0,0.0,869,708176,0.0,0.0,0.0,0.0
146,76,Occitanie,29,4026,8085,88,0.0,0.0,869,643744,0.34,0.13,0.5814,0.2223
147,76,Occitanie,39,4026,8085,422,0.02,0.01,869,694333,1.44,0.75,2.4624,1.2825
148,76,Occitanie,49,4026,8085,740,0.04,0.02,869,742917,2.34,1.17,4.001399999999999,2.0006999999999997
149,76,Occitanie,59,4026,8085,2048,0.11,0.06,869,793469,6.08,3.12,10.3968,5.3352
150,76,Occitanie,69,4026,8085,3777,0.2,0.1,869,757521,11.76,5.97,20.1096,10.2087
151,76,Occitanie,79,4026,8085,4207,0.23,0.12,869,603091,16.43,8.36,28.0953,14.2956
152,76,Occitanie,89,4026,8085,751,0.04,0.02,869,320203,5.56,2.85,9.5076,4.8735
153,76,Occitanie,90,4026,8085,147,0.01,0.0,869,98249,3.54,1.77,6.053400000000001,3.0267000000000004
154,84,Auvergne-Rhône-Alpes,0,7306,13110,20507,0.64,0.36,1598,8090442,6.31,3.57,10.790099999999999,6.104699999999999
155,84,Auvergne-Rhône-Alpes,9,7306,13110,51,0.0,0.0,1598,935839,0.17,0.09,0.2907,0.1539
156,84,Auvergne-Rhône-Alpes,19,7306,13110,46,0.0,0.0,1598,1018289,0.08,0.08,0.1368,0.1368
157,84,Auvergne-Rhône-Alpes,29,7306,13110,179,0.01,0.0,1598,902190,0.53,0.27,0.9063000000000001,0.4617
158,84,Auvergne-Rhône-Alpes,39,7306,13110,517,0.02,0.01,1598,1009027,1.27,0.71,2.1717,1.2141
159,84,Auvergne-Rhône-Alpes,49,7306,13110,1578,0.05,0.03,1598,1039289,3.77,2.15,6.446700000000001,3.6764999999999994
160,84,Auvergne-Rhône-Alpes,59,7306,13110,3842,0.12,0.07,1598,1050457,9.13,5.17,15.612300000000001,8.8407
161,84,Auvergne-Rhône-Alpes,69,7306,13110,6769,0.21,0.12,1598,923640,18.25,10.29,31.2075,17.5959
162,84,Auvergne-Rhône-Alpes,79,7306,13110,6361,0.2,0.11,1598,715981,22.1,12.5,37.79100000000001,21.375
163,84,Auvergne-Rhône-Alpes,89,7306,13110,882,0.03,0.02,1598,383435,5.63,3.33,9.627300000000002,5.6943
164,84,Auvergne-Rhône-Alpes,90,7306,13110,75,0.0,0.0,1598,112295,1.42,0.71,2.4282,1.2141
165,93,Provence-Alpes-Côte d'Azur,0,4942,11778,16788,0.7,0.3,1083,5088998,7.47,3.17,12.773700000000002,5.4207
166,93,Provence-Alpes-Côte d'Azur,9,4942,11778,4,0.0,0.0,1083,550610,0.0,0.0,0.0,0.0
167,93,Provence-Alpes-Côte d'Azur,19,4942,11778,65,0.0,0.0,1083,583319,0.28,0.09,0.47880000000000006,0.1539
168,93,Provence-Alpes-Côte d'Azur,29,4942,11778,132,0.01,0.0,1083,509396,0.64,0.21,1.0944,0.3591
169,93,Provence-Alpes-Côte d'Azur,39,4942,11778,477,0.02,0.01,1083,599896,1.81,0.72,3.0951000000000004,1.2312
170,93,Provence-Alpes-Côte d'Azur,49,4942,11778,1188,0.05,0.02,1083,630708,4.29,1.8,7.3359000000000005,3.0780000000000003
171,93,Provence-Alpes-Côte d'Azur,59,4942,11778,3188,0.13,0.06,1083,682640,10.55,4.52,18.0405,7.729199999999999
172,93,Provence-Alpes-Côte d'Azur,69,4942,11778,5677,0.24,0.1,1083,633044,20.27,8.64,34.6617,14.7744
173,93,Provence-Alpes-Côte d'Azur,79,4942,11778,5118,0.21,0.09,1083,529487,21.89,9.31,37.4319,15.920100000000001
174,93,Provence-Alpes-Côte d'Azur,89,4942,11778,839,0.04,0.02,1083,287621,6.59,2.82,11.2689,4.8222
175,93,Provence-Alpes-Côte d'Azur,90,4942,11778,46,0.0,0.0,1083,82277,1.32,0.66,2.2572,1.1286
176,94,Corse,0,102,327,443,0.74,0.26,30,349269,3.17,1.13,5.4207,1.9322999999999997
177,94,Corse,9,102,327,0,0.0,0.0,30,34584,0.0,0.0,0.0,0.0
178,94,Corse,19,102,327,0,0.0,0.0,30,36310,0.0,0.0,0.0,0.0
179,94,Corse,29,102,327,0,0.0,0.0,30,32754,0.0,0.0,0.0,0.0
180,94,Corse,39,102,327,10,0.02,0.01,30,43975,0.58,0.2,0.9917999999999998,0.3420000000000001
181,94,Corse,49,102,327,14,0.02,0.01,30,46093,0.75,0.26,1.2825,0.4446
182,94,Corse,59,102,327,98,0.16,0.06,30,47732,5.12,1.82,8.7552,3.1122000000000005
183,94,Corse,69,102,327,150,0.25,0.09,30,45158,8.3,2.96,14.193000000000001,5.061599999999999
184,94,Corse,79,102,327,138,0.23,0.08,30,37520,9.2,3.28,15.732,5.6088
185,94,Corse,89,102,327,33,0.06,0.02,30,20002,4.12,1.5,7.0451999999999995,2.565
186,94,Corse,90,102,327,0,0.0,0.0,30,5141,0.0,0.0,0.0,0.0
