jour;libelle;reg;incid_rea
2020-03-26;Occitanie;76;44
2020-03-26;Pays de la Loire;52;17
2020-03-26;Provence-Alpes-Côte d'Azur;93;27
2020-03-27;Auvergne-Rhône-Alpes;84;77
2020-03-27;Bourgogne-Franche-Comté;27;24
2020-03-27;Bretagne;53;9
2020-03-27;Centre-Val de Loire;24;18
2020-03-27;Corse;94;1
2020-03-27;Grand-Est;44;102
2020-03-27;Guadeloupe;1;7
2020-03-27;Guyane;3;0
2020-03-27;Hauts-de-France;32;51
2020-03-27;Ile-de-France;11;195
2020-03-27;La Réunion;4;0
2020-03-27;Martinique;2;3
2020-03-27;Mayotte;6;0
2020-03-27;Normandie;28;21
2020-03-27;Nouvelle-Aquitaine;75;27
2020-03-27;Occitanie;76;26
2020-03-27;Pays de la Loire;52;20
2020-03-27;Provence-Alpes-Côte d'Azur;93;27
2020-03-28;Auvergne-Rhône-Alpes;84;108
2020-03-28;Bourgogne-Franche-Comté;27;21
2020-03-28;Bretagne;53;19
2020-03-28;Centre-Val de Loire;24;13
2020-03-28;Corse;94;6
2020-03-28;Grand-Est;44;114
2020-03-28;Guadeloupe;1;0
2020-03-28;Guyane;3;0
2020-03-28;Hauts-de-France;32;38
2020-03-28;Ile-de-France;11;242
2020-03-28;La Réunion;4;1
2020-03-28;Martinique;2;0
2020-03-28;Mayotte;6;0
2020-03-28;Normandie;28;25
2020-03-28;Nouvelle-Aquitaine;75;23
2020-03-28;Occitanie;76;35
2020-03-28;Pays de la Loire;52;21
2020-03-28;Provence-Alpes-Côte d'Azur;93;29
2020-03-29;Auvergne-Rhône-Alpes;84;89
2020-03-29;Bourgogne-Franche-Comté;27;33
2020-03-29;Bretagne;53;4
2020-03-29;Centre-Val de Loire;24;17
2020-03-29;Corse;94;4
2020-03-29;Grand-Est;44;71
2020-03-29;Guadeloupe;1;0
2020-03-29;Guyane;3;0
2020-03-29;Hauts-de-France;32;37
2020-03-29;Ile-de-France;11;158
2020-03-29;La Réunion;4;0
2020-03-29;Martinique;2;2
2020-03-29;Mayotte;6;0
2020-03-29;Normandie;28;19
2020-03-29;Nouvelle-Aquitaine;75;35
2020-03-29;Occitanie;76;27
2020-03-29;Pays de la Loire;52;9
2020-03-29;Provence-Alpes-Côte d'Azur;93;38
2020-03-30;Auvergne-Rhône-Alpes;84;116
2020-03-30;Bourgogne-Franche-Comté;27;20
2020-03-30;Bretagne;53;10
2020-03-30;Centre-Val de Loire;24;13
2020-03-30;Corse;94;1
2020-03-30;Grand-Est;44;113
2020-03-30;Guadeloupe;1;4
2020-03-30;Guyane;3;0
2020-03-30;Hauts-de-France;32;63
2020-03-30;Ile-de-France;11;189
2020-03-30;La Réunion;4;1
2020-03-30;Martinique;2;0
2020-03-30;Mayotte;6;0
2020-03-30;Normandie;28;18
2020-03-30;Nouvelle-Aquitaine;75;25
2020-03-30;Occitanie;76;51
2020-03-30;Pays de la Loire;52;20
2020-03-30;Provence-Alpes-Côte d'Azur;93;50
2020-03-31;Auvergne-Rhône-Alpes;84;65
2020-03-31;Bourgogne-Franche-Comté;27;30
2020-03-31;Bretagne;53;12
2020-03-31;Centre-Val de Loire;24;19
2020-03-31;Corse;94;2
2020-03-31;Grand-Est;44;122
2020-03-31;Guadeloupe;1;2
2020-03-31;Guyane;3;0
2020-03-31;Hauts-de-France;32;67
2020-03-31;Ile-de-France;11;288
2020-03-31;La Réunion;4;2
2020-03-31;Martinique;2;3
2020-03-31;Mayotte;6;0
2020-03-31;Normandie;28;32
2020-03-31;Nouvelle-Aquitaine;75;32
2020-03-31;Occitanie;76;27
2020-03-31;Pays de la Loire;52;25
2020-03-31;Provence-Alpes-Côte d'Azur;93;39
2020-04-01;Auvergne-Rhône-Alpes;84;81
2020-04-01;Bourgogne-Franche-Comté;27;33
2020-04-01;Bretagne;53;17
2020-04-01;Centre-Val de Loire;24;24
2020-04-01;Corse;94;3
2020-04-01;Grand-Est;44;107
2020-04-01;Guadeloupe;1;2
2020-04-01;Guyane;3;0
2020-04-01;Hauts-de-France;32;48
2020-04-01;Ile-de-France;11;307
2020-04-01;La Réunion;4;0
2020-04-01;Martinique;2;1
2020-04-01;Mayotte;6;0
2020-04-01;Normandie;28;19
